Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
8.4,2.5,6.4,32.7
9.0,2.7,6.0,28.3
12.0,3.6,9.0,63.6
9.5,2.8,7.0,38.5
10.0,3.0,7.0,38.5
9.0,2.7,5.0,19.6
10.0,3.0,6.0,28.3
9.5,2.8,7.0,38.5
13.7,4.1,7.7,46.2
13.7,4.1,7.7,46.2
13.7,4.1,7.7,46.2
13.7,4.1,7.7,46.2
13.7,4.1,7.7,46.2
13.7,4.1,7.7,46.2
13.7,4.1,7.7,46.2
13.7,4.1,7.7,46.2
12.0,3.6,5.0,19.6
6.0,1.8,6.0,28.3
14.0,4.2,7.0,38.5
14.0,4.2,5.0,19.6
17.0,5.1,9.0,63.6
14.0,4.2,8.0,50.3
11.0,3.3,6.0,28.3
13.0,3.9,12.0,113.1
6.0,1.8,2.5,4.9
6.0,1.8,2.5,4.9
8.0,2.4,6.0,28.3
14.0,4.2,5.0,19.6
8.0,2.4,5.0,19.6
12.0,3.6,5.0,19.6
12.0,3.6,4.0,12.6
12.0,3.6,4.0,12.6
10.5,3.2,9.0,63.6
6.0,1.8,2.5,4.9
6.0,1.8,3.0,7.1
6.0,1.8,2.5,4.9
8.3,2.5,4.7,17.2
10.0,3.0,6.0,28.3
12.0,3.6,4.0,12.6
12.0,3.6,4.0,12.6
14.0,4.2,5.0,19.6
14.0,4.2,5.0,19.6
14.0,4.2,8.0,50.3
8.3,2.5,4.7,17.2
12.0,3.6,4.0,12.6
12.0,3.6,6.0,28.3
14.0,4.2,8.0,50.3
10.0,3.0,4.0,12.6
12.0,3.6,10.0,78.5
14.0,4.2,5.0,19.6
10.0,3.0,4.0,12.6
13.0,3.9,8.0,50.3
14.0,4.2,8.0,50.3
13.0,3.9,8.0,50.3
7.0,2.1,6.0,28.3
14.0,4.2,4.0,12.6
7.0,2.1,4.0,12.6
8.0,2.4,10.0,78.5
6.2,1.9,3.6,10.1
11.0,3.3,6.0,28.3
12.0,3.6,10.0,78.5
6.2,1.9,3.6,10.1
17.1,5.1,8.7,59.1
20.0,6.0,15.0,176.7
12.0,3.6,10.0,78.5
17.1,5.1,8.7,59.1
14.0,4.2,16.0,201.1
20.0,6.0,10.0,78.5
20.0,6.0,10.0,78.5
20.0,6.0,10.0,78.5
15.0,4.5,11.0,95.0
14.0,4.2,12.0,113.1
18.9,5.7,9.4,68.8
23.0,6.9,15.0,176.7
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
13.0,3.9,6.0,28.3
18.9,5.7,9.4,68.8
26.0,7.8,12.0,113.1
18.9,5.7,9.4,68.8
24.0,7.2,12.0,113.1
18.0,5.4,8.0,50.3
18.0,5.4,12.0,113.1
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
21.0,6.3,7.0,38.5
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
22.0,6.6,12.0,113.1
14.0,4.2,8.0,50.3
22.0,6.6,10.0,78.5
14.0,4.2,8.0,50.3
14.0,4.2,10.0,78.5
14.0,4.2,8.0,50.3
14.0,4.2,8.0,50.3
20.0,6.0,8.0,50.3
18.9,5.7,9.4,68.8
14.0,4.2,8.0,50.3
20.0,6.0,10.0,78.5
20.0,6.0,10.0,78.5
20.0,6.0,10.0,78.5
18.0,5.4,14.0,153.9
17.0,5.1,12.0,113.1
13.0,3.9,7.0,38.5
20.0,6.0,16.0,201.1
22.0,6.6,10.0,78.5
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.9,5.7,9.4,68.8
18.0,5.4,15.0,176.7
18.0,5.4,14.0,153.9
18.0,5.4,14.0,153.9
15.0,4.5,7.0,38.5
18.0,5.4,14.0,153.9
18.6,5.6,9.3,67.9
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
12.0,3.6,7.0,38.5
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
4.4,1.3,4.6,16.4
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
17.0,5.1,8.0,50.3
20.6,6.2,10.9,94.0
20.6,6.2,10.9,94.0
20.0,6.0,12.0,113.1
15.0,4.5,11.0,95.0
15.0,4.5,12.0,113.1
15.0,4.5,11.0,95.0
13.0,3.9,11.5,103.9
13.0,3.9,12.0,113.1
15.0,4.5,11.0,95.0
13.0,3.9,12.0,113.1
15.0,4.5,12.0,113.1
13.0,3.9,12.0,113.1
14.0,4.2,12.0,113.1
15.0,4.5,12.0,113.1
15.0,4.5,13.0,132.7
13.0,3.9,12.0,113.1
13.0,3.9,11.0,95.0
14.0,4.2,12.0,113.1
15.0,4.5,11.5,103.9
14.0,4.2,12.0,113.1
14.0,4.2,12.0,113.1
8.3,2.5,6.7,35.2
14.0,4.2,11.5,103.9
13.0,3.9,11.0,95.0
15.0,4.5,11.0,95.0
14.0,4.2,11.0,95.0
14.0,4.2,12.0,113.1
14.0,4.2,12.0,113.1
14.0,4.2,12.0,113.1
15.0,4.5,13.0,132.7
14.0,4.2,12.5,122.7
14.0,4.2,12.5,122.7
13.0,3.9,11.0,95.0
8.3,2.5,6.7,35.2
14.0,4.2,12.0,113.1
8.3,2.5,6.7,35.2
13.0,3.9,12.5,122.7
13.0,3.9,12.0,113.1
14.0,4.2,12.0,113.1
3.5,1.0,1.5,1.8
13.0,3.9,11.5,103.9
14.0,4.2,12.0,113.1
11.0,3.3,9.0,63.6
11.0,3.3,8.0,50.3
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
14.0,4.2,8.0,50.3
3.5,1.0,1.0,0.8
12.0,3.6,9.0,63.6
12.0,3.6,9.0,63.6
6.0,1.8,8.0,50.3
12.0,3.6,10.0,78.5
12.0,3.6,10.0,78.5
14.0,4.2,12.0,113.1
13.0,3.9,10.0,78.5
12.0,3.6,11.0,95.0
13.0,3.9,11.0,95.0
13.0,3.9,11.5,103.9
7.0,2.1,7.0,38.5
11.5,3.4,10.5,86.6
6.0,1.8,6.0,28.3
13.0,3.9,12.5,122.7
13.0,3.9,12.0,113.1
15.0,4.5,11.0,95.0
13.0,3.9,11.5,103.9
19.0,5.7,11.5,103.9
12.0,3.6,11.5,103.9
12.0,3.6,12.0,113.1
12.0,3.6,12.5,122.7
12.0,3.6,11.0,95.0
12.0,3.6,12.0,113.1
12.0,3.6,12.0,113.1
12.0,3.6,12.0,113.1
12.0,3.6,12.0,113.1
14.0,4.2,11.0,95.0
18.0,5.4,11.0,95.0
15.0,4.5,12.0,113.1
15.0,4.5,12.5,122.7
13.0,3.9,12.5,122.7
13.0,3.9,12.0,113.1
15.0,4.5,11.0,95.0
20.0,6.0,12.0,113.1
8.0,2.4,5.5,23.8
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
15.0,4.5,12.0,113.1
6.0,1.8,6.0,28.3
15.0,4.5,12.0,113.1
6.0,1.8,6.0,28.3
4.5,1.3,4.0,12.6
4.5,1.3,4.0,12.6
4.5,1.3,4.0,12.6
4.5,1.3,4.0,12.6
4.5,1.3,4.0,12.6
6.0,1.8,6.0,28.3
6.0,1.8,6.0,28.3
13.0,3.9,10.0,78.5
6.0,1.8,6.0,28.3
5.0,1.5,5.0,19.6
5.0,1.5,5.0,19.6
5.0,1.5,5.0,19.6
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
6.0,1.8,6.0,28.3
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
6.0,1.8,6.0,28.3
6.0,1.8,6.0,28.3
5.0,1.5,3.5,9.6
4.5,1.3,3.5,9.6
5.5,1.7,4.0,12.6
6.0,1.8,3.5,9.6
8.3,2.5,6.7,35.2
10.0,3.0,9.0,63.6
11.0,3.3,10.0,78.5
12.5,3.8,11.0,95.0
13.0,3.9,11.0,95.0
15.0,4.5,12.0,113.1
11.0,3.3,8.0,50.3
10.0,3.0,6.0,28.3
9.0,2.7,5.0,19.6
11.0,3.3,9.0,63.6
12.0,3.6,9.0,63.6
6.0,1.8,6.0,28.3
5.0,1.5,4.0,12.6
7.5,2.3,6.0,28.3
7.5,2.3,6.0,28.3
12.0,3.6,12.0,113.1
14.0,4.2,11.0,95.0
15.0,4.5,13.0,132.7
13.0,3.9,9.0,63.6
8.3,2.5,6.7,35.2
13.0,3.9,10.0,78.5
11.0,3.3,4.0,12.6
11.0,3.3,4.0,12.6
11.0,3.3,7.0,38.5
11.0,3.3,7.0,38.5
11.0,3.3,9.0,63.6
8.3,2.5,6.7,35.2
8.3,2.5,6.7,35.2
10.0,3.0,7.0,38.5
10.0,3.0,7.0,38.5
8.0,2.4,8.0,50.3
9.0,2.7,8.0,50.3
10.0,3.0,9.0,63.6
11.0,3.3,10.0,78.5
11.0,3.3,9.0,63.6
10.0,3.0,8.0,50.3
10.0,3.0,8.0,50.3
10.0,3.0,8.0,50.3
10.0,3.0,8.0,50.3
10.0,3.0,8.0,50.3
12.0,3.6,8.0,50.3
12.0,3.6,9.0,63.6
12.0,3.6,9.0,63.6
8.0,2.4,6.0,28.3
12.0,3.6,9.0,63.6
4.0,1.2,4.0,12.6
10.0,3.0,8.0,50.3
14.0,4.2,7.0,38.5
14.0,4.2,8.0,50.3
8.5,2.6,6.0,28.3
4.5,1.3,3.3,8.5
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
6.7,2.0,4.9,19.2
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
12.5,3.8,3.7,10.6
4.0,1.2,3.0,7.1
6.0,1.8,5.0,19.6
8.0,2.4,6.0,28.3
5.0,1.5,3.0,7.1
7.0,2.1,7.0,38.5
6.0,1.8,6.0,28.3
6.0,1.8,6.0,28.3
6.0,1.8,6.0,28.3
4.0,1.2,2.5,4.9
4.0,1.2,2.0,3.1
5.9,1.8,4.2,13.8
6.0,1.8,5.0,19.6
13.0,3.9,8.0,50.3
4.0,1.2,2.5,4.9
4.0,1.2,2.5,4.9
4.0,1.2,2.3,4.0
4.0,1.2,2.3,4.0
4.0,1.2,2.3,4.0
4.0,1.2,2.3,4.0
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
9.0,2.7,1.5,1.8
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
8.0,2.4,2.0,3.1
11.0,3.3,11.0,95.0
7.7,2.3,5.3,22.3
5.0,1.5,2.5,4.9
6.9,2.1,4.4,15.4
6.9,2.1,4.4,15.4
11.0,3.3,8.0,50.3
4.4,1.3,4.6,16.4
4.4,1.3,4.6,16.4
13.0,3.9,12.0,113.1
4.0,1.2,2.0,3.1
9.0,2.7,6.0,28.3
10.0,3.0,7.0,38.5
9.0,2.7,6.0,28.3
12.0,3.6,5.0,19.6
9.0,2.7,8.0,50.3
4.0,1.2,10.0,78.5
6.0,1.8,6.0,28.3
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
10.0,3.0,8.0,50.3
6.7,2.0,4.9,19.2
6.5,1.9,6.0,28.3
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.7,2.0,4.9,19.2
6.0,1.8,4.0,12.6
8.0,2.4,6.0,28.3
8.0,2.4,6.0,28.3
8.0,2.4,6.0,28.3
7.0,2.1,5.0,19.6
10.0,3.0,10.0,78.5
10.0,3.0,10.0,78.5
8.0,2.4,7.0,38.5
4.0,1.2,2.0,3.1
4.0,1.2,2.0,3.1
4.0,1.2,3.0,7.1
5.0,1.5,3.0,7.1
4.0,1.2,2.0,3.1
4.0,1.2,2.0,3.1
6.0,1.8,4.0,12.6
5.1,1.5,3.3,8.4
4.0,1.2,3.0,7.1
5.1,1.5,3.3,8.4
5.1,1.5,3.3,8.4
3.5,1.0,2.0,3.1
5.1,1.5,3.3,8.4
4.0,1.2,1.5,1.8
6.0,1.8,3.0,7.1
6.0,1.8,4.0,12.6
6.0,1.8,2.5,4.9
5.0,1.5,3.0,7.1
4.0,1.2,2.0,3.1
4.0,1.2,2.0,3.1
4.0,1.2,2.0,3.1
4.0,1.2,2.0,3.1
5.0,1.5,2.0,3.1
5.0,1.5,2.0,3.1
10.0,3.0,8.0,50.3
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
18.0,5.4,11.0,95.0
12.0,3.6,4.0,12.6
10.4,3.1,6.0,28.2
19.0,5.7,7.0,38.5
15.0,4.5,9.0,63.6
7.0,2.1,9.0,63.6
12.0,3.6,10.0,78.5
12.0,3.6,10.0,78.5
9.0,2.7,5.0,19.6
10.0,3.0,4.0,12.6
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
15.0,4.5,6.0,28.3
11.0,3.3,9.0,63.6
18.0,5.4,9.0,63.6
9.0,2.7,10.0,78.5
10.4,3.1,6.0,28.2
10.4,3.1,6.0,28.2
4.0,1.2,4.0,12.6
4.5,1.3,4.0,12.6
4.5,1.3,6.0,28.3
4.5,1.3,5.0,19.6
4.0,1.2,4.0,12.6
4.0,1.2,4.0,12.6
4.5,1.3,4.0,12.6
4.5,1.3,4.5,15.9
4.0,1.2,4.0,12.6
4.5,1.3,4.0,12.6
13.0,3.9,12.0,113.1
4.5,1.3,2.5,4.9
4.5,1.3,5.0,19.6
4.5,1.3,4.0,12.6
6.5,1.9,3.0,7.1
4.5,1.3,3.5,9.6
4.5,1.3,4.0,12.6
4.0,1.2,2.5,4.9
5.0,1.5,4.5,15.9
5.0,1.5,4.5,15.9
12.0,3.6,10.0,78.5
5.5,1.7,4.0,12.6
4.0,1.2,2.5,4.9
8.0,2.4,10.0,78.5
3.5,1.0,3.0,7.1
3.5,1.0,2.5,4.9
4.0,1.2,5.0,19.6
12.0,3.6,10.0,78.5
12.0,3.6,10.0,78.5
4.0,1.2,3.0,7.1
12.0,3.6,8.0,50.3
13.0,3.9,10.0,78.5
4.8,1.4,2.4,4.6
13.0,3.9,6.0,28.3
7.0,2.1,10.0,78.5
12.0,3.6,6.0,28.3
7.0,2.1,7.0,38.5
14.0,4.2,6.5,33.2
17.2,5.2,8.4,55.4
10.0,3.0,9.0,63.6
6.9,2.1,6.5,33.6
10.0,3.0,11.0,95.0
8.0,2.4,5.3,21.7
2.8,0.8,1.0,0.7
8.0,2.4,5.0,19.6
11.0,3.3,8.0,50.3
10.0,3.0,6.0,28.3
5.0,1.5,5.7,25.2
7.0,2.1,5.0,19.8
7.0,2.1,5.0,19.8
7.0,2.1,5.0,19.8
9.0,2.7,6.0,28.3
10.0,3.0,10.0,78.5
11.0,3.3,8.0,50.3
6.5,1.9,7.0,38.5
6.3,1.9,4.1,13.2
6.3,1.9,4.1,13.2
6.3,1.9,4.1,13.2
11.0,3.3,10.0,78.5
10.0,3.0,10.0,78.5
12.0,3.6,11.0,95.0
7.0,2.1,4.0,12.6
5.7,1.7,3.3,8.6
5.7,1.7,3.3,8.6
5.7,1.7,3.3,8.6
5.7,1.7,3.3,8.6
13.0,3.9,12.0,113.1
5.7,1.7,3.3,8.6
12.0,3.6,5.0,19.6
12.0,3.6,5.0,19.6
5.0,1.5,3.0,7.1
8.0,2.4,6.0,28.3
5.0,1.5,2.0,3.1
10.0,3.0,8.0,50.3
6.0,1.8,4.0,12.6
5.0,1.5,3.0,7.1
10.0,3.0,12.0,113.1
4.7,1.4,2.7,5.6
4.7,1.4,3.1,7.7
4.7,1.4,3.1,7.7
4.7,1.4,3.1,7.7
10.0,3.0,9.0,63.6
4.0,1.2,4.0,12.6
4.0,1.2,4.0,12.6
11.0,3.3,18.0,254.5
5.0,1.5,5.0,19.6
4.5,1.4,6.0,28.4
5.0,1.5,8.0,50.3
5.0,1.5,8.0,50.3
4.5,1.4,6.0,28.4
4.5,1.4,6.0,28.4
5.0,1.5,6.0,28.3
5.0,1.5,6.0,28.3
5.0,1.5,10.0,78.5
5.0,1.5,10.0,78.5
4.5,1.4,6.0,28.4
6.0,1.8,10.0,78.5
4.5,1.4,6.0,28.4
5.0,1.5,12.0,113.1
5.0,1.5,10.0,78.5
5.0,1.5,6.0,28.3
5.0,1.5,12.0,113.1
6.0,1.8,10.0,78.5
4.5,1.4,6.0,28.4
5.0,1.5,10.0,78.5
5.0,1.5,12.0,113.1
5.0,1.5,8.0,50.3
5.0,1.5,12.0,113.1
5.0,1.5,8.0,50.3
5.0,1.5,10.0,78.5
5.0,1.5,10.0,78.5
6.0,1.8,13.0,132.7
5.0,1.5,8.0,50.3
5.0,1.5,5.0,19.6
5.0,1.5,8.0,50.3
6.0,1.8,12.0,113.1
4.5,1.4,6.0,28.4
4.5,1.4,6.0,28.4
4.0,1.2,5.0,19.6
5.0,1.5,8.0,50.3
5.0,1.5,10.0,78.5
4.5,1.4,6.0,28.4
5.0,1.5,8.0,50.3
5.0,1.5,10.0,78.5
5.0,1.5,10.0,78.5
7.0,2.1,6.0,28.3
7.0,2.1,6.0,28.3
4.9,1.5,5.9,27.5
4.0,1.2,4.5,15.9
4.0,1.2,4.5,15.9
4.0,1.2,4.5,15.9
4.0,1.2,4.5,15.9
4.0,1.2,4.5,15.9
4.0,1.2,4.5,15.9
4.0,1.2,4.5,15.9
4.0,1.2,4.5,15.9
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
12.0,3.6,8.0,50.3
7.0,2.1,3.8,11.1
12.0,3.6,18.0,254.5
7.0,2.1,3.8,11.1
12.0,3.6,8.0,50.3
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
7.0,2.1,3.8,11.1
9.7,2.9,8.0,50.3
9.7,2.9,8.0,50.3
9.7,2.9,8.0,50.3
9.7,2.9,8.0,50.3
9.7,2.9,8.0,50.3
9.7,2.9,8.0,50.3
9.7,2.9,8.0,50.3
9.7,2.9,8.0,50.3
11.0,3.3,6.0,28.3
12.0,3.6,6.0,28.3
11.9,3.6,5.3,22.0
11.0,3.3,8.0,50.3
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
6.0,1.8,5.0,19.6
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
12.0,3.6,9.0,63.6
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
11.9,3.6,5.3,22.0
12.0,3.6,5.0,19.6
12.0,3.6,8.0,50.3
6.0,1.8,3.0,7.1
6.0,1.8,4.0,12.6
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
15.0,4.5,6.0,28.3
7.0,2.1,3.0,7.1
10.0,3.0,5.0,19.6
14.0,4.2,8.0,50.3
13.0,3.9,6.0,28.3
10.7,3.2,5.3,22.1
15.0,4.5,6.0,28.3
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
12.0,3.6,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
12.0,3.6,6.0,28.3
12.0,3.6,6.0,28.3
12.0,3.6,6.0,28.3
12.0,3.6,6.0,28.3
12.0,3.6,6.0,28.3
12.0,3.6,6.0,28.3
15.0,4.5,6.0,28.3
10.7,3.2,5.3,22.1
15.0,4.5,6.0,28.3
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
15.0,4.5,6.0,28.3
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
10.7,3.2,5.3,22.1
