Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Platanus x hispanica,8.0,7.5,44.2,2.4,4.7,0.76
Celtis australis,10.0,6.0,28.3,3.0,1.8,0.29
Aesculus hippocastanum,8.0,6.0,28.3,2.4,12.5,2.01
Celtis australis,7.0,7.0,38.5,2.1,1.1,0.17
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Celtis australis,12.0,10.0,78.5,3.6,1.6,0.26
Celtis australis,5.0,4.0,12.6,1.5,1.0,0.16
Tilia x europaea,10.0,5.0,19.6,3.0,8.6,1.38
Carpinus betulus,9.0,7.0,38.5,2.7,3.9,0.63
Aesculus hippocastanum,10.0,6.0,28.3,3.0,9.0,1.44
Platanus x hispanica,6.0,2.5,4.9,1.8,1.5,0.24
Celtis australis,5.0,5.0,19.6,1.5,0.8,0.14
Tilia x europaea,4.0,2.5,4.9,1.2,2.3,0.37
Celtis australis,11.0,10.0,78.5,3.3,1.6,0.26
Tilia cordata,6.4,4.4,14.9,1.9,2.6,0.41
Platanus x hispanica,18.0,9.0,63.6,5.4,21.5,3.46
Celtis australis,5.0,3.0,7.1,1.5,0.8,0.12
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8,1.57
Tilia x europaea,3.0,1.5,1.8,0.9,2.3,0.37
Aesculus hippocastanum,4.0,4.0,12.6,1.2,2.9,0.46
Tilia x europaea,5.0,2.5,4.9,1.5,1.6,0.26
Celtis australis,15.0,12.0,113.1,4.5,2.0,0.31
Celtis australis,9.0,8.0,50.3,2.7,2.2,0.35
Platanus x hispanica,20.0,17.0,227.0,6.0,8.1,1.31
Celtis australis,7.0,10.0,78.5,2.1,1.2,0.19
Aesculus hippocastanum,12.0,9.0,63.6,3.6,13.6,2.18
Carpinus betulus,8.0,3.0,7.1,2.4,1.7,0.27
Tilia x europaea,4.0,2.5,4.9,1.2,2.3,0.37
Tilia cordata,7.0,7.0,38.5,2.1,4.0,0.65
Celtis australis,6.0,5.0,19.6,1.8,1.3,0.2
Tilia cordata,8.0,6.0,28.3,2.4,1.9,0.31
Carpinus betulus,13.0,8.0,50.3,3.9,4.7,0.76
Platanus x hispanica,26.0,22.0,380.1,7.8,34.9,5.61
Aesculus hippocastanum,20.0,5.0,19.6,6.0,6.8,1.09
Celtis australis,4.0,2.0,3.1,1.2,0.6,0.1
Aesculus hippocastanum,5.0,2.0,3.1,1.5,2.3,0.36
Aesculus hippocastanum,8.0,5.0,19.6,2.4,3.3,0.53
Platanus x hispanica,6.5,5.0,19.6,1.9,3.0,0.48
Celtis australis,5.0,3.0,7.1,1.5,1.6,0.25
Carpinus betulus,3.0,1.0,0.8,0.9,1.0,0.15
Tilia cordata,8.0,8.0,50.3,2.4,4.9,0.78
Tilia cordata,7.0,6.0,28.3,2.1,3.2,0.52
Celtis australis,5.0,3.0,7.1,1.5,0.8,0.12
Tilia x europaea,11.0,9.0,63.6,3.3,28.3,4.55
Tilia x europaea,5.0,5.0,19.6,1.5,9.1,1.46
Tilia cordata,4.0,1.0,0.8,1.2,0.7,0.11
Carpinus betulus,7.0,6.0,28.3,2.1,3.9,0.63
Tilia x europaea,5.0,3.0,7.1,1.5,3.0,0.48
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Celtis australis,4.5,3.0,7.1,1.3,0.6,0.1
Platanus x hispanica,25.0,15.0,176.7,7.5,0.3,0.04
Carpinus betulus,10.0,9.0,63.6,3.0,3.9,0.63
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9,0.15
Tilia cordata,8.0,8.0,50.3,2.4,4.9,0.78
Tilia x europaea,15.0,11.0,95.0,4.5,14.3,2.3
Tilia cordata,5.0,4.0,12.6,1.5,1.9,0.31
Platanus x hispanica,8.0,2.0,3.1,2.4,2.2,0.35
Tilia cordata,4.0,1.5,1.8,1.2,0.7,0.11
Aesculus hippocastanum,4.0,3.5,9.6,1.2,2.2,0.36
Celtis australis,5.0,4.0,12.6,1.5,0.9,0.15
Platanus x hispanica,2.0,2.0,3.1,0.6,2.4,0.39
Celtis australis,7.0,5.0,19.6,2.1,0.9,0.14
Tilia x europaea,8.0,8.0,50.3,2.4,6.3,1.01
Platanus x hispanica,25.0,12.0,113.1,7.5,30.1,4.83
Tilia cordata,10.0,8.0,50.3,3.0,4.9,0.78
Celtis australis,4.0,4.0,12.6,1.2,0.8,0.12
Platanus x hispanica,11.0,9.0,63.6,3.3,4.7,0.76
Celtis australis,4.0,2.0,3.1,1.2,0.5,0.08
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9,0.15
Tilia x europaea,12.0,6.0,28.3,3.6,7.6,1.23
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Carpinus betulus,4.0,1.5,1.8,1.2,1.1,0.18
Carpinus betulus,4.5,2.5,4.9,1.3,1.7,0.27
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8,0.29
Celtis australis,15.0,11.5,103.9,4.5,2.1,0.33
Tilia cordata,6.0,2.5,4.9,1.8,1.1,0.18
Celtis australis,5.0,3.0,7.1,1.5,1.6,0.25
Carpinus betulus,6.0,2.0,3.1,1.8,0.6,0.1
Platanus x hispanica,5.0,4.0,12.6,1.5,3.0,0.48
