Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.1
Carpinus betulus,13.0,6.0,28.3,3.9,2.7
Carpinus betulus,7.0,6.0,28.3,2.1,3.9
Carpinus betulus,4.5,2.5,4.9,1.3,1.5
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9
Tilia x europaea,15.0,12.0,113.1,4.5,26.4
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.6
Aesculus hippocastanum,9.0,7.0,38.5,2.7,10.3
Tilia cordata,6.0,11.0,95.0,1.8,7.4
Celtis australis,8.3,6.7,35.2,2.5,1.3
Celtis australis,8.3,6.7,35.2,2.5,1.3
Aesculus hippocastanum,5.0,4.0,12.6,1.5,2.9
Celtis australis,9.0,12.0,113.1,2.7,1.2
Celtis australis,4.5,3.0,7.1,1.3,0.7
Tilia cordata,7.0,5.0,19.6,2.1,1.7
Platanus x hispanica,18.0,18.0,254.5,5.4,3.1
Tilia x europaea,4.0,1.0,0.8,1.2,4.6
Platanus x hispanica,6.0,4.0,12.6,1.8,3.0
Platanus x hispanica,24.0,14.0,153.9,7.2,28.3
Tilia x europaea,4.0,2.5,4.9,1.2,2.3
Tilia x europaea,4.0,1.5,1.8,1.2,2.3
Carpinus betulus,13.0,4.0,12.6,3.9,3.9
Platanus x hispanica,4.0,1.5,1.8,1.2,1.1
Platanus x hispanica,27.0,24.0,452.4,8.1,8.1
Carpinus betulus,10.0,6.0,28.3,3.0,3.5
Celtis australis,4.5,3.0,7.1,1.3,0.7
Platanus x hispanica,7.0,7.0,38.5,2.1,5.7
Platanus x hispanica,7.0,7.0,38.5,2.1,6.0
Celtis australis,9.0,3.0,7.1,2.7,0.8
Aesculus hippocastanum,6.0,3.0,7.1,1.8,3.0
Tilia cordata,6.0,4.0,12.6,1.8,2.4
Carpinus betulus,6.0,2.0,3.1,1.8,2.1
Tilia x europaea,12.0,8.0,50.3,3.6,29.7
Tilia x europaea,12.0,10.0,78.5,3.6,16.6
Tilia x europaea,8.0,8.0,50.3,2.4,10.6
Platanus x hispanica,8.0,4.0,12.6,2.4,3.2
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Celtis australis,10.0,8.0,50.3,3.0,1.4
Platanus x hispanica,8.0,8.0,50.3,2.4,8.2
Carpinus betulus,5.0,4.0,12.6,1.5,2.3
Tilia cordata,11.0,8.0,50.3,3.3,5.3
Carpinus betulus,4.0,2.0,3.1,1.2,1.9
Tilia cordata,5.0,4.0,12.6,1.5,1.1
Tilia x europaea,13.0,11.0,95.0,3.9,28.3
Tilia cordata,15.0,4.0,12.6,4.5,9.3
Platanus x hispanica,17.0,9.0,63.6,5.1,31.0
Celtis australis,15.0,12.0,113.1,4.5,1.9
Tilia x europaea,12.0,8.0,50.3,3.6,18.3
Aesculus hippocastanum,10.0,6.0,28.3,3.0,7.0
Platanus x hispanica,4.0,1.0,0.8,1.2,1.1
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Tilia cordata,3.0,1.0,0.8,0.9,0.7
Platanus x hispanica,24.0,14.0,153.9,7.2,32.8
Carpinus betulus,3.0,1.5,1.8,0.9,1.7
Aesculus hippocastanum,6.0,6.0,28.3,1.8,6.2
Tilia x europaea,4.0,2.5,4.9,1.2,2.3
Carpinus betulus,5.0,2.0,3.1,1.5,1.7
Carpinus betulus,11.0,8.0,50.3,3.3,3.9
Tilia cordata,7.0,6.0,28.3,2.1,2.3
Carpinus betulus,8.0,2.0,3.1,2.4,1.7
Platanus x hispanica,17.0,15.0,176.7,5.1,34.9
Tilia cordata,4.0,1.0,0.8,1.2,0.4
Celtis australis,10.0,10.0,78.5,3.0,1.3
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Tilia x europaea,12.0,5.6,24.3,3.6,3.8
Tilia x europaea,4.0,1.5,1.8,1.2,3.0
Celtis australis,7.0,8.0,50.3,2.1,1.2
Platanus x hispanica,20.0,17.0,227.0,6.0,5.5
Platanus x hispanica,21.0,16.0,201.1,6.3,34.9
Celtis australis,8.3,6.7,35.2,2.5,1.3
Tilia x europaea,8.0,4.0,12.6,2.4,11.6
Carpinus betulus,5.0,3.0,7.1,1.5,3.2
Tilia x europaea,6.0,4.0,12.6,1.8,3.4
Celtis australis,11.0,6.0,28.3,3.3,1.2
Celtis australis,17.0,12.0,113.1,5.1,0.4
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Tilia cordata,5.5,5.0,19.6,1.7,2.1
Tilia cordata,2.5,1.0,0.8,0.8,0.7
Celtis australis,6.0,6.0,28.3,1.8,1.2
Celtis australis,6.0,5.0,19.6,1.8,1.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,12.0,7.0,38.5,3.6,6.1
Celtis australis,6.0,5.0,19.6,1.8,0.7
Platanus x hispanica,23.0,19.0,283.5,6.9,0.3
Tilia cordata,6.4,4.4,14.9,1.9,2.6
Aesculus hippocastanum,8.5,10.0,78.5,2.6,13.3
Celtis australis,16.0,10.0,78.5,4.8,1.8
Tilia cordata,6.0,4.0,12.6,1.8,1.6
Tilia cordata,5.0,3.0,7.1,1.5,1.3
Aesculus hippocastanum,10.0,4.0,12.6,3.0,12.6
Tilia cordata,4.0,2.0,3.1,1.2,0.7
Platanus x hispanica,5.0,1.5,1.8,1.5,2.2
Tilia x europaea,15.0,8.0,50.3,4.5,29.7
Platanus x hispanica,6.0,6.0,28.3,1.8,3.0
Tilia x europaea,5.0,4.0,12.6,1.5,10.1
Platanus x hispanica,14.0,8.0,50.3,4.2,9.3
Celtis australis,5.0,4.0,12.6,1.5,0.8
Carpinus betulus,9.0,3.0,7.1,2.7,3.9
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Tilia x europaea,15.0,8.0,50.3,4.5,26.4
Celtis australis,8.0,6.0,28.3,2.4,0.9
Tilia x europaea,12.0,3.0,7.1,3.6,4.2
Tilia x europaea,15.0,9.0,63.6,4.5,25.7
Tilia cordata,4.0,1.5,1.8,1.2,0.8
Platanus x hispanica,38.0,25.0,490.9,11.4,0.7
Celtis australis,10.0,9.0,63.6,3.0,1.4
Aesculus hippocastanum,9.0,12.0,113.1,2.7,15.4
Tilia x europaea,14.0,12.0,113.1,4.2,36.6
Aesculus hippocastanum,9.0,8.0,50.3,2.7,9.6
Celtis australis,5.0,2.0,3.1,1.5,0.6
Tilia x europaea,4.0,4.0,12.6,1.2,1.3
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9
Aesculus hippocastanum,8.0,6.0,28.3,2.4,7.9
Tilia x europaea,8.0,6.0,28.3,2.4,7.2
Celtis australis,8.0,8.0,50.3,2.4,1.3
Platanus x hispanica,11.0,9.0,63.6,3.3,4.7
Platanus x hispanica,23.0,12.0,113.1,6.9,34.9
Tilia x europaea,8.6,5.6,24.3,2.6,11.5
Aesculus hippocastanum,6.0,4.0,12.6,1.8,4.5
Tilia cordata,5.0,3.0,7.1,1.5,1.3
Celtis australis,10.0,9.0,63.6,3.0,1.2
Carpinus betulus,6.0,3.0,7.1,1.8,4.5
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Platanus x hispanica,23.0,13.0,132.7,6.9,32.8
Celtis australis,12.0,10.0,78.5,3.6,1.9
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Platanus x hispanica,26.0,20.0,314.2,7.8,4.3
Aesculus hippocastanum,11.0,12.0,113.1,3.3,16.8
Tilia cordata,4.0,1.0,0.8,1.2,0.7
Tilia x europaea,11.0,4.0,12.6,3.3,13.8
Aesculus hippocastanum,7.0,6.0,28.3,2.1,6.2
Tilia cordata,18.0,6.0,28.3,5.4,12.5
Celtis australis,6.0,8.0,50.3,1.8,1.5
Platanus x hispanica,24.0,21.0,346.4,7.2,30.1
Celtis australis,10.0,8.0,50.3,3.0,1.4
Tilia x europaea,12.0,8.0,50.3,3.6,29.7
Celtis australis,15.0,12.0,113.1,4.5,2.0
Celtis australis,10.0,10.0,78.5,3.0,1.5
Tilia cordata,19.0,11.0,95.0,5.7,16.9
Celtis australis,12.0,8.0,50.3,3.6,1.6
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6
Tilia x europaea,5.0,5.0,19.6,1.5,6.7
Platanus x hispanica,28.0,18.0,254.5,8.4,6.7
Tilia cordata,4.0,1.0,0.8,1.2,0.6
Tilia cordata,19.0,11.0,95.0,5.7,16.9
Platanus x hispanica,22.0,18.0,254.5,6.6,0.7
Celtis australis,10.0,8.0,50.3,3.0,1.4
Tilia cordata,19.0,7.0,38.5,5.7,12.5
Carpinus betulus,8.0,4.0,12.6,2.4,3.9
Tilia x europaea,16.0,8.0,50.3,4.8,23.2
Tilia cordata,21.0,9.0,63.6,6.3,14.2
Carpinus betulus,4.0,3.0,7.1,1.2,1.9
Carpinus betulus,8.0,3.0,7.1,2.4,3.9
Platanus x hispanica,4.0,1.0,0.8,1.2,1.1
Platanus x hispanica,8.5,8.0,50.3,2.6,8.2
Tilia x europaea,6.0,8.0,50.3,1.8,13.8
Celtis australis,15.0,4.0,12.6,4.5,1.0
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6
Tilia cordata,6.0,4.0,12.6,1.8,1.9
Celtis australis,10.0,10.0,78.5,3.0,1.2
Platanus x hispanica,6.0,4.0,12.6,1.8,2.7
Tilia x europaea,6.0,5.0,19.6,1.8,8.1
Carpinus betulus,5.0,2.0,3.1,1.5,1.7
Carpinus betulus,5.0,2.5,4.9,1.5,1.7
Carpinus betulus,4.5,3.0,7.1,1.3,1.5
Celtis australis,14.0,4.5,15.9,4.2,1.8
Platanus x hispanica,6.0,1.5,1.8,1.8,0.9
Aesculus hippocastanum,7.0,6.0,28.3,2.1,5.6
Celtis australis,6.0,12.0,113.1,1.8,1.5
Celtis australis,5.0,6.0,28.3,1.5,1.3
Celtis australis,8.0,6.0,28.3,2.4,1.1
Aesculus hippocastanum,11.0,8.0,50.3,3.3,13.5
Tilia x europaea,15.0,9.0,63.6,4.5,43.8
Tilia cordata,15.0,8.0,50.3,4.5,13.3
Celtis australis,4.5,3.0,7.1,1.3,0.7
Platanus x hispanica,4.0,1.0,0.8,1.2,0.9
Tilia x europaea,6.0,4.0,12.6,1.8,7.2
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.3
Tilia cordata,3.0,1.0,0.8,0.9,0.8
Celtis australis,6.0,4.0,12.6,1.8,0.9
